,Date,LSE (GBp),NYSE (USD)
0,24/04/2026,4239.00,58.64
1,23/04/2026,4225.50,57.53
2,22/04/2026,4218.00,57.12
3,21/04/2026,4260.00,57.73
4,20/04/2026,4284.50,58.23
5,17/04/2026,4232.50,58.19
6,16/04/2026,4256.50,57.6
7,15/04/2026,4269.50,58.02
8,14/04/2026,4269.50,58.14
9,13/04/2026,4298.00,58.06
10,10/04/2026,4302.00,58.83
11,09/04/2026,4313.00,57.4
12,08/04/2026,4251.00,58.2
13,07/04/2026,4220.00,56.01
14,02/04/2026,4205.50,55.43
15,01/04/2026,4230.50,55.1
16,31/03/2026,4555.50,58.56
17,30/03/2026,4500.00,59.74
18,27/03/2026,4500.00,59.8
19,26/03/2026,4504.00,60.53
20,25/03/2026,4539.00,60.97
21,24/03/2026,4528.50,60.55
22,23/03/2026,4564.50,61.84
23,20/03/2026,4625.00,62.12
24,19/03/2026,4652.50,61.88
25,18/03/2026,4875.00,63.44
26,17/03/2026,4891.00,65.44
27,16/03/2026,4839.00,65.23
28,13/03/2026,4792.00,64.46
29,12/03/2026,4837.00,65.13
30,11/03/2026,4879.50,65.9
31,10/03/2026,4915.00,66.03
32,09/03/2026,4926.00,65.98
33,06/03/2026,5036.00,66.33
34,05/03/2026,5134.00,67.83
35,04/03/2026,5163.00,69.1
36,03/03/2026,5299.00,69.02
37,02/03/2026,5434.00,72.15
38,27/02/2026,5369.00,73.33
39,26/02/2026,5368.00,73.51
40,25/02/2026,5480.00,73.38
41,24/02/2026,5473.00,74.5
42,23/02/2026,5420.00,73.11
43,20/02/2026,5323.00,72.6
44,19/02/2026,5321.00,72.16
45,18/02/2026,5383.00,73.09
46,17/02/2026,5413.00,74.32
47,13/02/2026,5340.00,74.28
48,12/02/2026,5360.00,71.98
49,11/02/2026,5236.00,72.4
50,10/02/2026,5175.00,71.64
51,09/02/2026,5216.00,71.57
52,06/02/2026,5235.00,71.49
53,05/02/2026,5198.00,71.15
54,04/02/2026,5033.00,70.62
55,03/02/2026,4983.50,67.78
56,02/02/2026,5000.00,68.91
57,30/01/2026,4864.50,68.16
58,29/01/2026,4776.00,67.1
59,28/01/2026,4847.00,66.6
60,27/01/2026,4852.00,67.58
61,26/01/2026,4864.00,66.79
62,23/01/2026,4816.00,65.88
63,22/01/2026,4783.50,64.93
64,21/01/2026,4790.50,65.38
65,20/01/2026,4751.00,64.04
66,16/01/2026,4774.00,64.41
67,15/01/2026,4814.00,64.38
68,14/01/2026,4777.00,64.73
69,13/01/2026,4759.00,64.31
70,12/01/2026,4770.00,64.38
71,09/01/2026,4712.50,63.6
72,08/01/2026,4594.50,61.86
73,07/01/2026,4744.00,63.04
74,06/01/2026,4681.00,63.93
75,05/01/2026,4822.50,63.39
76,02/01/2026,4851.50,65.31
77,31/12/2025,4863.50,65.64
78,30/12/2025,4834.50,65.54
79,29/12/2025,4860.00,65.68
80,24/12/2025,4860.00,65.44
81,23/12/2025,4825.50,65.35
82,22/12/2025,4882.00,65.2
83,19/12/2025,4861.50,65.24
84,18/12/2025,4926.00,65.42
85,17/12/2025,4781.50,64.92
86,16/12/2025,4869.50,64.81
87,15/12/2025,4844.50,64.97
88,12/12/2025,4832.50,64.42
89,11/12/2025,4725.50,64.71
90,10/12/2025,4799.00,64.3
91,09/12/2025,4679.50,62.35
92,08/12/2025,4884.75,62.87
93,05/12/2025,4739.03,66.41
94,04/12/2025,4727.25,66.96
95,03/12/2025,4804.38,67.05
96,02/12/2025,4901.86,66.87
97,01/12/2025,4867.58,68.67
98,28/11/2025,4877.22,67.8
99,26/11/2025,4864.37,67.76
100,25/11/2025,4833.30,67.48
101,24/11/2025,4911.50,67.65
102,21/11/2025,4841.87,67.24
103,20/11/2025,4796.88,66.34
104,19/11/2025,4797.95,66.94
105,18/11/2025,4785.10,66.67
106,17/11/2025,4774.38,66.78
107,14/11/2025,4853.65,67.28
108,13/11/2025,4919.00,67.95
109,12/11/2025,4908.29,68.28
110,11/11/2025,4954.35,69.05
111,10/11/2025,4953.28,68.63
112,07/11/2025,4891.15,68.01
