Time,Extension,Force,Strain 1
(s),(mm),(N),(%)
"0.00000","0.00000","0.48253","-0.0013"
"0.01000","0.00000","0.38878","-0.0013"
"0.02000","0.00006","0.37911","-0.0013"
"0.03000","0.00006","0.37014","-0.0013"
"0.04000","0.00012","0.38817","-0.0013"
"0.05000","0.00019","0.37981","-0.0013"
"0.06000","0.00031","0.44495","-0.0013"
"0.07000","0.00056","0.42986","-0.0013"
"0.08000","0.00087","0.43392","-0.0013"
"0.09000","0.00131","0.46028","-0.0013"
"0.10000","0.00181","0.44154","-0.0013"
"0.11000","0.00237","0.50738","-0.0013"
"0.12000","0.00294","0.59787","-0.0013"
"0.13000","0.00350","0.59963","-0.0013"
"0.14000","0.00400","0.58680","-0.0013"
"0.15000","0.00444","0.60810","-0.0013"
"0.16000","0.00475","0.53870","0.0000"
"0.17000","0.00500","0.54020","0.0000"
"0.18000","0.00531","0.48022","0.0000"
"0.19000","0.00569","0.43367","0.0000"
"0.20000","0.00600","0.28676","0.0000"
"0.21000","0.00644","0.25068","0.0000"
"0.22000","0.00687","0.18018","0.0000"
"0.23000","0.00731","0.22738","0.0000"
"0.24000","0.00775","0.24542","0.0000"
"0.25000","0.00819","0.37404","0.0000"
"0.26000","0.00869","0.48974","0.0000"
"0.27000","0.00912","0.56816","0.0000"
"0.28000","0.00962","0.57347","0.0000"
"0.29000","0.01000","0.51314","0.0000"
"0.30000","0.01031","0.45978","0.0000"
"0.31000","0.01062","0.41503","0.0000"
"0.32000","0.01081","0.38667","0.0000"
"0.33000","0.01100","0.39990","0.0000"
"0.34000","0.01125","0.37319","0.0000"
"0.35000","0.01144","0.46790","0.0000"
"0.36000","0.01175","0.58144","0.0000"
"0.37000","0.01212","0.63565","0.0000"
"0.38000","0.01250","0.69849","0.0000"
"0.39000","0.01294","0.71793","0.0000"
"0.40000","0.01337","0.55062","0.0000"
"0.41000","0.01381","0.40777","0.0000"
"0.42000","0.01425","0.20608","0.0000"
"0.43000","0.01469","0.15122","0.0000"
"0.44000","0.01506","0.24687","0.0000"
"0.45000","0.01544","0.33060","0.0000"
"0.46000","0.01569","0.30966","0.0000"
"0.47000","0.01600","0.27528","0.0000"
"0.48000","0.01619","0.21786","0.0000"
"0.49000","0.01637","0.15062","0.0000"
"0.50000","0.01662","0.11770","0.0000"
"0.51000","0.01681","0.22733","0.0000"
"0.52000","0.01706","0.33767","-0.0013"
"0.53000","0.01737","0.37129","-0.0013"
"0.54000","0.01775","0.39529","-0.0013"
"0.55000","0.01806","0.37865","-0.0013"
"0.56000","0.01850","0.38577","-0.0013"
"0.57000","0.01894","0.29382","-0.0013"
"0.58000","0.01931","0.36082","-0.0013"
"0.59000","0.01975","0.39193","-0.0013"
"0.60000","0.02019","0.40606","-0.0013"
"0.61000","0.02056","0.28405","-0.0013"
"0.62000","0.02100","0.25684","-0.0013"
"0.63000","0.02144","0.24336","-0.0013"
"0.64000","0.02181","0.20909","-0.0026"
"0.65000","0.02212","0.24898","-0.0013"
"0.66000","0.02237","0.38662","-0.0013"
"0.67000","0.02256","0.49155","-0.0013"
"0.68000","0.02275","0.54406","-0.0013"
"0.69000","0.02294","0.52572","-0.0013"
"0.70000","0.02319","0.44409","-0.0013"
"0.71000","0.02344","0.41874","-0.0013"
"0.72000","0.02375","0.60970","-0.0013"
"0.73000","0.02412","0.68175","-0.0013"
"0.74000","0.02450","0.76348","-0.0013"
"0.75000","0.02494","0.73161","-0.0013"
"0.76000","0.02544","0.61256","-0.0013"
"0.77000","0.02587","0.52787","-0.0026"
"0.78000","0.02631","0.50798","-0.0013"
"0.79000","0.02669","0.44860","-0.0013"
"0.80000","0.02706","0.47697","-0.0026"
"0.81000","0.02737","0.47521","-0.0026"
"0.82000","0.02762","0.33692","-0.0026"
"0.83000","0.02787","0.26451","-0.0026"
"0.84000","0.02812","0.22127","-0.0026"
"0.85000","0.02831","0.26256","-0.0013"
"0.86000","0.02856","0.36838","-0.0013"
"0.87000","0.02875","0.44450","-0.0013"
"0.88000","0.02906","0.55097","-0.0013"
"0.89000","0.02937","0.65429","-0.0013"
